product_id,name,in_store,embellishment_type,fabric,fit,graphic_type,origin,season_code,vendor,color_code,single_sku_catalog_entry,catalog,category,subcategory,current_price
13029606,White Hudson University Coaches Flex Slouch Hat,TRUE,Embroidered/Sewn,97% Polyester/3% Elastane,,SIDELINE,Imported,Fall,Adidas,White,103000000,Clothing & Accessories,Men,Hats,28
13194142,Maroon Hudson University Amplifier Short Sleeve T-Shirt,TRUE,Screen Print,100% Cotton,,SIDELINE,Imported,Fall,Adidas,Maroon,,Clothing & Accessories,Men,T-Shirts & Tanks,25
13547940,Hudson University Youth Girls' Burnout Short Sleeve T-Shirt,TRUE,Screen Print,51% Cotton/49% Polyester,Youth,Trend/Fashion Graphic,Imported,Basic Non-Seasonal,Wes & Willy LLC,,,Clothing & Accessories,Kids,Youth,26
15262883,Fan Brander Black Apple Air Pod Leatherette case with Hudson U Titans Primary Mark design,FALSE,,,,,,DSV Direct Ship from Vendor,Branded Logistics LLC,,100000000,Electronics,Cell Phones,Phone Cases,29.99
15281446,Black/White Hudson University Women's Snap Jacket,TRUE,Screen Print,100% Polyester,Activewear,SIDELINE,Imported,Fall,Adidas,Black/White,,Clothing & Accessories,Women,Outerwear,70
16030154,White Hudson University Women's Tank Top,TRUE,Screen Print,65% Polyester/35% Cotton,Crop,Trend/Fashion Graphic,Imported,Fall,Zoozatz,White,,Clothing & Accessories,Women,T-Shirts & Tanks,24
16686094,Black Hudson University Women's Hooded Sweatshirt,TRUE,Screen Print,60% Cotton/40% Polyester,Athletic,Official Seal,Imported,Basic Non-Seasonal,Champion Products,Black,,Clothing & Accessories,Women,Sweatshirts,48
16815609,Maroon Hudson University Women's Hooded Sweatshirt,TRUE,Tackle Twill Applique,60% Cotton/40% Polyester,Classic,Script Lettering Graphic,Imported,Basic Non-Seasonal,Champion Products,Maroon,,Clothing & Accessories,Women,Sweatshirts,60
17347861,Maroon Hudson University Short Sleeve T-Shirt,TRUE,Screen Print,100% Polyester,,SIDELINE,Imported,Holiday,Adidas,Maroon,,Clothing & Accessories,Men,T-Shirts & Tanks,35
17548914,"Maroon Hudson University Titans 7"" x 7"" Wood Plank Sign",TRUE,Screen Print,,,Mascot,Made in USA,Basic Non-Seasonal,Legacy Apparel,Maroon,102000000,Gifts & Collectibles,Tailgate & Spirit,,16
