product_id,size
57450359,2XLarge
57450359,Large
57450359,Medium
57450359,Small
57450359,XLarge
57450404,2XLarge
57450404,3XLarge
57450404,Large
57450404,Medium
57450404,Small
57450404,XLarge
57450404,XSmall
57450410,2XLarge
57450410,3XLarge
57450410,Large
57450410,Medium
57450410,Small
57450410,XLarge
57450610,2XLarge
57450610,Large
57450610,Medium
57450610,Small
57450610,XLarge
57450625,2XLarge
57450625,Large
57450625,Medium
57450625,Small
57450625,XLarge
57450625,XSmall
57450667,3XLarge
57450667,Medium
57450667,Small
57450958,2XLarge
57450958,3XLarge
57450958,Large
57450958,Medium
57450958,Small
57450958,XLarge
68251408,2XLarge
68251408,3XLarge
68251408,Large
68251408,Medium
68251408,Small
68251408,XLarge
68364670,2XLarge
68364670,3XLarge
68364670,Large
68364670,Medium
68364670,Small
68364670,XLarge
69998319,2XLarge
69998319,3XLarge
69998319,Medium
69998319,Small
69998319,XLarge
70096934,2XLarge
70096934,Large
70096934,Medium
70096934,Small
70096934,XLarge
70194738,Small
70194738,XSmall
70217372,2XLarge
70217372,Large
70217372,Medium
70217372,Small
70217372,XSmall
70217386,2XLarge
70217386,3XLarge
70217386,Large
70217386,Small
70217386,XLarge
70326460,Medium
70326460,Small
70326460,XSmall
70326471,Medium
70326471,Small
70326471,XSmall
71013816,Large
71013816,Medium
71013816,Small
71013816,XLarge
71013816,XSmall
71013915,2XLarge
71013915,3XLarge
71013915,Large
71013915,Medium
71013915,Small
71013915,XLarge
71013915,XSmall
71014035,2XLarge
71014035,3XLarge
71014035,Large
71014035,Medium
71014035,Small
71014035,XLarge
71299501,2XLarge
71299501,3XLarge
71299501,Large
71299501,Medium
71299501,Small
71299501,XLarge
71299656,2XLarge
71299656,3XLarge
71299656,Large
71299656,Medium
71299656,Small
71299656,XLarge
71661018,2XLarge
71661018,3XLarge
71661018,Large
71661018,Medium
71661018,Small
71661018,XLarge
71661018,XSmall
72005023,2XLarge
72005023,Large
72005023,Medium
72005023,Small
72005023,XLarge
72060793,Medium
72060793,Small
72469989,2XLarge
72469989,3XLarge
72469989,Large
72469989,Medium
72469989,Small
72469989,XLarge
72620791,2XLarge
72620791,Medium
72620791,Small
72620791,XLarge
72620791,XSmall
72628215,2XLarge
72628215,Large
72628215,Medium
72628215,Small
72628215,XLarge
72628215,XSmall
72689459,2XLarge
72689459,3XLarge
72689459,Large
72689459,Medium
72689459,Small
72689459,XLarge
72924943,2XLarge
72924943,XLarge
72924943,XSmall
73136057,XSmall
73278376,Small/Medium
73353711,2XLarge
73353711,3XLarge
73353711,Large
73353711,Medium
73353711,Small
73353711,XLarge
73353711,XSmall
73782638,Large
73782638,Medium
73782638,Small
73782638,XLarge
73796789,2XLarge
73796789,3XLarge
73796789,Large
73796789,Medium
73796789,XLarge
73796808,2XLarge
73796808,3XLarge
73796808,Large
73796808,Medium
73796808,Small
73796808,XLarge
73814848,3XLarge
73814848,Medium
73880959,Medium
73880959,XLarge
73880959,XSmall
73949575,2XLarge
73949575,Large
73949575,Medium
