order_id,outlet,date
80001,K-Mart,2010-01-02 00:00:00
80002,Target,2010-01-02 00:00:00
80003,Sam 's Club,2010-01-03 00:00:00
80004,Target,2010-01-04 00:00:00
80005,Walmart,2010-01-04 00:00:00
80006,Dick 's Sproting Goods,2010-01-05 00:00:00
80007,Sam 's Club,2010-01-05 00:00:00
80008,Costco,2010-01-06 00:00:00
80009,Target,2010-01-06 00:00:00
80010,Academy Sports,2010-01-07 00:00:00
80011,Sam 's Club,2010-01-07 00:00:00
80012,Walmart,2010-01-07 00:00:00
80013,Costco,2010-01-08 00:00:00
80014,K-Mart,2010-01-08 00:00:00
80015,Dick 's Sproting Goods,2010-01-09 00:00:00
80016,Target,2010-01-09 00:00:00
80017,Walmart,2010-01-09 00:00:00
80018,Academy Sports,2010-01-10 00:00:00
80019,Big 5,2010-01-10 00:00:00
80020,Costco,2010-01-10 00:00:00
80021,K-Mart,2010-01-11 00:00:00
80022,Costco,2010-01-12 00:00:00
80023,Sam 's Club,2010-01-12 00:00:00
80024,Dick 's Sproting Goods,2010-01-13 00:00:00
80025,Target,2010-01-13 00:00:00
80026,Academy Sports,2010-01-14 00:00:00
80027,K-Mart,2010-01-15 00:00:00
80028,Sam 's Club,2010-01-15 00:00:00
80029,Big 5,2010-01-16 00:00:00
80030,Dick 's Sproting Goods,2010-01-16 00:00:00
80031,Walmart,2010-01-16 00:00:00
80032,Academy Sports,2010-01-17 00:00:00
80033,Target,2010-01-17 00:00:00
80034,Costco,2010-01-18 00:00:00
80035,Big 5,2010-01-19 00:00:00
80036,Dick 's Sproting Goods,2010-01-19 00:00:00
80037,K-Mart,2010-01-19 00:00:00
80038,Walmart,2010-01-19 00:00:00
80039,Sam 's Club,2010-01-20 00:00:00
80040,Costco,2010-01-21 00:00:00
80041,K-Mart,2010-01-21 00:00:00
80042,Target,2010-01-21 00:00:00
80043,Walmart,2010-01-21 00:00:00
80044,Sam 's Club,2010-01-22 00:00:00
80045,Dick 's Sproting Goods,2010-01-23 00:00:00
80046,Academy Sports,2010-01-24 00:00:00
80047,Sam 's Club,2010-01-24 00:00:00
80048,Dick 's Sproting Goods,2010-01-25 00:00:00
80049,Target,2010-01-27 00:00:00
80050,Walmart,2010-01-27 00:00:00
80051,Big 5,2010-01-28 00:00:00
80052,Costco,2010-01-28 00:00:00
80053,Dick 's Sproting Goods,2010-01-28 00:00:00
80054,Walmart,2010-01-29 00:00:00
80055,K-Mart,2010-01-30 00:00:00
80056,Sam 's Club,2010-01-30 00:00:00
80057,Big 5,2010-01-31 00:00:00
80058,Costco,2010-01-31 00:00:00
80059,Target,2010-01-31 00:00:00
80060,Sam 's Club,2010-02-01 00:00:00
80061,Walmart,2010-02-02 00:00:00
80062,Costco,2010-02-03 00:00:00
80063,K-Mart,2010-02-03 00:00:00
80064,Academy Sports,2010-02-04 00:00:00
80065,Big 5,2010-02-04 00:00:00
80066,Target,2010-02-04 00:00:00
80067,Costco,2010-02-05 00:00:00
80068,Academy Sports,2010-02-06 00:00:00
80069,Sam 's Club,2010-02-06 00:00:00
80070,Target,2010-02-07 00:00:00
80071,Academy Sports,2010-02-08 00:00:00
80072,Dick 's Sproting Goods,2010-02-08 00:00:00
80073,Sam 's Club,2010-02-08 00:00:00
80074,Walmart,2010-02-08 00:00:00
80075,Target,2010-02-09 00:00:00
80076,Big 5,2010-02-10 00:00:00
80077,Sam 's Club,2010-02-10 00:00:00
80078,Academy Sports,2010-02-11 00:00:00
80079,Costco,2010-02-11 00:00:00
80080,K-Mart,2010-02-11 00:00:00
80081,Big 5,2010-02-12 00:00:00
80082,Sam 's Club,2010-02-12 00:00:00
80083,K-Mart,2010-02-13 00:00:00
80084,Target,2010-02-13 00:00:00
80085,Walmart,2010-02-14 00:00:00
80086,Sam 's Club,2010-02-15 00:00:00
80087,Costco,2010-02-16 00:00:00
80088,K-Mart,2010-02-16 00:00:00
80089,Target,2010-02-16 00:00:00
80090,Sam 's Club,2010-02-17 00:00:00
80091,Big 5,2010-02-18 00:00:00
80092,Costco,2010-02-18 00:00:00
80093,Dick 's Sproting Goods,2010-02-18 00:00:00
80094,K-Mart,2010-02-18 00:00:00
80095,Target,2010-02-18 00:00:00
80096,Walmart,2010-02-18 00:00:00
80097,Academy Sports,2010-02-19 00:00:00
80098,Academy Sports,2010-02-21 00:00:00
80099,Big 5,2010-02-21 00:00:00
80100,K-Mart,2010-02-21 00:00:00
80101,Dick 's Sproting Goods,2010-02-22 00:00:00
80102,Target,2010-02-22 00:00:00
80103,Costco,2010-02-23 00:00:00
80104,Big 5,2010-02-24 00:00:00
80105,Dick 's Sproting Goods,2010-02-24 00:00:00
80106,K-Mart,2010-02-24 00:00:00
80107,Sam 's Club,2010-02-24 00:00:00
80108,Target,2010-02-24 00:00:00
80109,Academy Sports,2010-02-26 00:00:00
80110,K-Mart,2010-02-26 00:00:00
80111,Big 5,2010-02-27 00:00:00
80112,Costco,2010-02-27 00:00:00
80113,Target,2010-02-27 00:00:00
80114,Walmart,2010-02-27 00:00:00
80115,Academy Sports,2010-03-01 00:00:00
80116,Costco,2010-03-01 00:00:00
80117,K-Mart,2010-03-01 00:00:00
80118,Big 5,2010-03-02 00:00:00
80119,Target,2010-03-02 00:00:00
80120,Academy Sports,2010-03-03 00:00:00
80121,Walmart,2010-03-03 00:00:00
80122,Big 5,2010-03-04 00:00:00
80123,Target,2010-03-04 00:00:00
80124,Academy Sports,2010-03-05 00:00:00
80125,K-Mart,2010-03-05 00:00:00
80126,Sam 's Club,2010-03-05 00:00:00
80127,Walmart,2010-03-06 00:00:00
80128,Academy Sports,2010-03-07 00:00:00
80129,Costco,2010-03-07 00:00:00
80130,Dick 's Sproting Goods,2010-03-07 00:00:00
80131,K-Mart,2010-03-08 00:00:00
80132,Target,2010-03-08 00:00:00
80133,Big 5,2010-03-09 00:00:00
80134,Costco,2010-03-09 00:00:00
80135,Walmart,2010-03-09 00:00:00
80136,Dick 's Sproting Goods,2010-03-10 00:00:00
